h_team_wins,day_night,LAN,SDN,COL,ARI,WAS,CIN,SLN,PIT,MIA,SFN,ANA,BAL,DET,CHA,NYA,HOU,MIN,KCA,CLE,OAK,BOS,SEA,TOR,TBA,CHN,TEX,MIL,NYN,ATL,PHI,SEO01,PHO01,CIN09,LOS03,MIA02,SAN02,BAL12,CHI12,HOU03,KAN06,OAK01,SEA03,STP01,ARL03,NYC20,PHI13,CHI11,WAS11,MIL06,STL10,MIN04,ATL03,DEN02,PIT08,SFO03,ANA01,DET05,NYC21,CLE08,TOR02,BOS07,MEX02,LON01,BIR01,WIL02,v_batting_xwoba,h_batting_xwoba,v_batting_k_percent,h_batting_k_percent,v_batting_bb_percent,h_batting_bb_percent,v_batting_barrels_per_pa_percent,h_batting_barrels_per_pa_percent,v_batting_hardhit_percent,h_batting_hardhit_percent,v_batting_launch_speed,h_batting_launch_speed,v_batting_bat_speed,h_batting_bat_speed,v_pitching_xwoba,h_pitching_xwoba,v_pitching_k_percent,h_pitching_k_percent,v_pitching_bb_percent,h_pitching_bb_percent,v_pitching_hardhit_percent,h_pitching_hardhit_percent,v_pitching_barrels_per_bbe_percent,h_pitching_barrels_per_bbe_percent,v_pitching_velocity,h_pitching_velocity,v_pitching_spin_rate,h_pitching_spin_rate,v_pitching_swing_miss_percent,h_pitching_swing_miss_percent
1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3286,0.3399,22.3889,20.7222,8.1222,9.4889,5.9526,6.5403,41.7568,43.4763,88.9333,90.0,70.2333,69.4111,0.33,0.292,45.0,29.9,5.0,5.9,55.5556,34.8668,22.2222,7.7482,89.2,87.1,2025,2336,30.0,32.1
0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3286,0.3402,22.3889,20.9111,8.1222,9.1889,5.9526,6.8903,41.7568,43.3704,88.9333,90.0333,70.2333,69.5889,0.3,0.289,24.9,22.7,8.5,4.5,37.8378,43.75,7.4844,7.5,88.0,90.1,1994,2318,26.1,22.3
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0.307,0.3451,21.49,21.8,7.68,9.99,4.7894,7.3384,34.7478,43.6723,87.43,90.06,68.9,70.57,0.342,0.314,16.1,26.5,4.8,7.7,44.898,40.9283,6.1224,10.9705,90.4,90.6,1895,2378,17.1,30.1
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0.2994,0.3451,20.15,21.8,7.1,9.99,4.4526,7.3384,34.5588,43.6723,87.24,90.06,68.11,70.57,0.3,0.295,26.3,25.5,6.2,7.0,36.9427,39.4531,7.0064,7.4219,88.7,91.2,2431,2444,26.9,24.8
0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3399,0.331,20.7222,23.2333,9.4889,7.8778,6.5403,6.3912,43.4763,42.7252,90.0,89.2889,69.4111,70.5889,0.334,0.305,18.6,21.2,8.1,7.9,37.8049,35.4839,6.9106,5.6926,89.5,92.4,2342,2233,19.4,22.0
0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3326,0.3303,22.5778,23.0444,9.2556,7.8111,6.6166,6.353,41.903,42.7468,89.5556,89.3778,69.5111,70.6222,0.288,0.327,28.5,18.8,6.0,8.8,41.25,38.189,8.3333,6.6929,89.6,86.1,2116,1971,27.0,22.2
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.3389,0.2875,21.61,22.23,9.79,7.44,6.961,3.9325,42.9878,33.76,89.74,86.75,70.46,68.07,0.3,0.274,26.4,27.7,8.2,7.8,38.009,38.0952,5.8824,6.6667,89.4,85.5,2820,2243,29.4,29.7
1,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3402,0.3257,20.9111,22.5,9.1889,8.5,6.8903,6.0205,43.3704,41.8132,90.0333,89.0333,69.5889,70.0444,0.292,0.328,29.9,19.8,5.9,9.0,34.8668,42.6966,7.7482,7.3034,87.1,88.8,2336,2115,32.1,25.6
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.3451,0.2875,21.8,22.23,9.99,7.44,7.3384,3.9325,43.6723,33.76,90.06,86.75,70.57,68.07,0.302,0.317,26.8,23.8,12.1,9.6,37.3684,44.0367,9.4737,6.8807,93.0,91.3,2275,2314,29.0,24.8
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.3451,0.307,21.8,21.49,9.99,7.68,7.3384,4.7894,43.6723,34.7478,90.06,87.43,70.57,68.9,0.314,0.3,26.5,26.3,7.7,6.2,40.9283,36.9427,10.9705,7.0064,90.6,88.7,2378,2431,30.1,26.9
1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3257,0.3326,22.5,22.5778,8.5,9.2556,6.0205,6.6166,41.8132,41.903,89.0333,89.5556,70.0444,69.5111,0.3,0.29,24.9,31.8,8.5,11.6,37.8378,40.7895,7.4844,10.5263,88.0,96.6,1994,2593,26.1,32.8
